semana	FRU0002	FRU0003	FRU0008	FRU0016	FRU0017	FRU0022	FRU0024	FRU0025	FRU0028	FRU0030	FRU0031	FRU0032	FRU0033	FRU0034	FRU0037	FRU0040	FRU0042	FRU0045	FRU0046	FRU0048	GRA0001	GRA0006	TUB0001	TUB0005	TUB0006	TUB0008	TUB0009	TUB0010	TUB0012	VER0003	VER0005	VER0006	VER0007	VER0009	VER0010	VER0012	VER0013	VER0014	VER0016	VER0017	VER0020	VER0024	VER0028	VER0033	VER0035	VER0037	VER0038	VER0043	VER0049	VER0050	VER0051	VER0052	Total
2017-04-23	0	0	0	0	0	0	1	1	0	0	1	2	1	0	0	0	1	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	4	0	2	1	0	0	0	0	0	0	26
2017-04-30	0	0	0	0	0	0	1	0	1	0	1	2	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	2	0	4	0	2	0	0	0	0	0	0	0	24
2017-05-07	0	0	0	1	0	0	3	1	0	0	1	1	2	0	0	0	2	0	6	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	3	0	0	5	1	2	2	4	1	2	1	1	0	0	0	0	1	46
2017-05-14	0	2	1	3	0	0	4	1	1	1	3	1	0	0	0	0	1	2	3	2	0	0	1	1	0	0	0	0	1	2	0	0	0	0	1	4	0	0	4	1	5	1	4	1	3	1	1	0	2	0	0	0	58
2017-05-21	0	1	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	3	1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	3	1	1	1	3	1	3	1	0	0	1	0	0	0	32
2017-05-28	1	0	2	0	1	0	2	1	1	0	1	0	1	0	1	0	1	0	6	0	0	0	1	1	0	0	0	0	1	0	1	1	1	0	1	2	1	0	5	1	3	1	5	1	3	1	2	1	0	0	0	0	51
2017-06-04	0	1	1	2	0	0	2	2	2	1	1	0	3	0	1	0	1	0	6	1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	1	1	0	0	5	1	1	1	5	1	1	1	0	0	0	0	0	0	47
2017-06-11	1	0	2	2	0	0	2	2	1	1	1	0	2	0	1	0	2	0	5	0	1	0	1	1	1	0	1	0	2	0	1	1	0	0	0	2	0	1	4	1	2	1	4	1	3	1	1	0	0	0	0	0	52
2017-06-18	0	0	1	1	0	0	2	1	2	0	0	0	2	0	1	0	0	0	6	1	1	0	1	1	0	0	0	0	1	0	1	1	0	1	0	4	0	1	3	1	2	1	3	0	4	1	2	1	1	1	0	1	50
2017-06-25	1	2	5	1	0	2	3	2	5	4	0	0	3	1	2	2	3	0	8	1	1	0	3	3	1	0	1	1	5	1	3	4	0	5	4	3	5	2	4	4	3	1	4	1	6	3	3	2	2	1	0	1	122
2017-07-02	1	2	7	3	1	1	3	1	4	4	1	0	4	2	0	1	3	0	9	2	0	1	1	1	1	1	1	0	4	0	2	2	0	1	4	1	4	0	7	2	1	0	6	0	6	0	3	1	1	1	0	1	102
