semana	0.000000
2016-10-30	0.000000
2016-11-06	0.000000
2016-11-13	0.000000
2016-11-20	1.000000
2016-11-27	1.000000
2016-12-04	2.000000
2016-12-11	4.000000
2016-12-18	3.000000
2016-12-25	3.000000
2017-01-01	2.000000
2017-01-08	4.000000
2017-01-15	5.000000
2017-01-22	2.000000
2017-01-29	4.000000
2017-02-05	2.000000
2017-02-12	3.000000
2017-02-19	3.000000
2017-02-26	3.000000
2017-03-05	3.000000
2017-03-12	3.000000
2017-03-19	1.000000
2017-03-26	1.000000
2017-04-02	3.000000
2017-04-09	2.000000
2017-04-16	1.000000
2017-04-23	0.000000
2017-04-30	0.000000
2017-05-07	0.000000
2017-05-14	0.000000
2017-05-21	0.000000
2017-05-28	0.000000
2017-06-04	0.000000
2017-06-11	0.000000
2017-06-18	0.000000
2017-06-25	0.000000
2017-07-02	0.000000
2017-07-09	1.000000
2017-07-16	0.000000
2017-07-23	1.000000
2017-07-30	0.000000
2017-08-06	0.000000
2017-08-13	0.000000
2017-08-20	1.000000
2017-08-27	1.000000
2017-09-03	1.000000
2017-09-10	0.000000
2017-09-17	0.000000
